,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",7208649,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
2,"bury a friend","Billie Eilish",4709601,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
3,Wow.,"Post Malone",4270418,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3993881,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,Happier,Marshmello,3556978,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
6,"Without Me",Halsey,3444153,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"MIDDLE CHILD","J. Cole",3335136,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
8,"Dancing With A Stranger (with Normani)","Sam Smith",3147696,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
9,"thank u, next","Ariana Grande",3109054,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
10,"Calma - Remix","Pedro Capó",3069326,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
11,"Sweet but Psycho","Ava Max",3029867,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
12,Secreto,"Anuel Aa",2702099,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
13,Shallow,"Lady Gaga",2670969,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
14,"MIA (feat. Drake)","Bad Bunny",2598431,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
15,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",2549641,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
16,"a lot","21 Savage",2438856,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
17,"SICKO MODE","Travis Scott",2431674,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
18,"High Hopes","Panic! At The Disco",2371164,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
19,"Adan y Eva","Paulo Londra",2350647,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
20,"Going Bad (feat. Drake)","Meek Mill",2312536,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
21,"Look Back At It","A Boogie Wit da Hoodie",2222829,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
22,"Con Calma","Daddy Yankee",2187526,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
23,"Baila Baila Baila",Ozuna,2074675,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
24,"when the party's over","Billie Eilish",2027477,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
25,"i'm so tired...",Lauv,2003410,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
26,"Giant (with Rag'n'Bone Man)","Calvin Harris",1984116,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
27,"Saturday Nights",Khalid,1880171,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
28,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1865672,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
29,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1865311,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
30,"Eastside (with Halsey & Khalid)","benny blanco",1841606,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
31,Thotiana,Blueface,1793677,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
32,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1721305,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
33,"Better Now","Post Malone",1711105,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
34,Desconocidos,"Mau y Ricky",1691908,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
35,"Girls Like You (feat. Cardi B)","Maroon 5",1681578,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
36,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,1680902,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
37,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1678767,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
38,"Be Alright","Dean Lewis",1629368,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
39,"Mo Bamba","Sheck Wes",1624352,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
40,Hope,"The Chainsmokers",1584630,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
41,lovely,"Billie Eilish",1574678,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
42,SAD!,XXXTENTACION,1574478,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
43,"Bohemian Rhapsody - Remastered 2011",Queen,1562554,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
44,Amanece,"Anuel Aa",1548925,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
45,"Ella Quiere Beber - Remix","Anuel Aa",1538834,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
46,"Let Me Down Slowly","Alec Benjamin",1515664,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
47,Better,Khalid,1513615,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
48,"Lucid Dreams","Juice WRLD",1462382,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
