Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",10445538,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,"break up with your girlfriend, i'm bored","Ariana Grande",7599830,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
3,needy,"Ariana Grande",5821541,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
4,"thank u, next","Ariana Grande",5787523,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
5,NASA,"Ariana Grande",5606877,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
6,bloodline,"Ariana Grande",5490853,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
7,"bad idea","Ariana Grande",5175165,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
8,"fake smile","Ariana Grande",4871271,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ
9,ghostin,"Ariana Grande",4531561,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB
10,"bury a friend","Billie Eilish",4456296,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
11,Wow.,"Post Malone",4383554,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
12,imagine,"Ariana Grande",4298231,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4054359,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"in my head","Ariana Grande",3963509,https://open.spotify.com/track/4T652DlATVHe0jdLKaN3Bw
15,"make up","Ariana Grande",3948984,https://open.spotify.com/track/27356GVuMPFWiJSZCragoM
16,Happier,Marshmello,3676221,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
17,"Without Me",Halsey,3489509,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
18,"MIDDLE CHILD","J. Cole",3336684,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
19,"Calma - Remix","Pedro Capó",3187244,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
20,"Sweet but Psycho","Ava Max",3151365,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
21,"Dancing With A Stranger (with Normani)","Sam Smith",3118331,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
22,Secreto,"Anuel Aa",2858566,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
23,Shallow,"Lady Gaga",2731385,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
24,Talk,Khalid,2703793,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
25,"MIA (feat. Drake)","Bad Bunny",2689281,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
26,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",2688742,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
27,"a lot","21 Savage",2581753,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
28,"Going Bad (feat. Drake)","Meek Mill",2563248,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
29,"SICKO MODE","Travis Scott",2502004,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
30,"Con Calma","Daddy Yankee",2501141,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
31,"High Hopes","Panic! At The Disco",2427168,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
32,"Adan y Eva","Paulo Londra",2387204,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
33,"Who Do You Love (with 5 Seconds of Summer)","The Chainsmokers",2271755,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
34,"Look Back At It","A Boogie Wit da Hoodie",2257098,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
35,"Baila Baila Baila",Ozuna,2232933,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
36,"i'm so tired...",Lauv,2032426,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
37,"Giant (with Rag'n'Bone Man)","Calvin Harris",2005133,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
38,Thotiana,Blueface,1950985,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
39,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1927876,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
40,"when the party's over","Billie Eilish",1927153,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
41,"Eastside (with Halsey & Khalid)","benny blanco",1849673,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
42,"Saturday Nights",Khalid,1849150,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
43,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1836670,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
44,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1768484,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
45,Desconocidos,"Mau y Ricky",1765838,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
46,"Better Now","Post Malone",1742207,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
47,"Mo Bamba","Sheck Wes",1726112,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
48,"Girls Like You (feat. Cardi B)","Maroon 5",1713532,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
49,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1687766,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
50,"Bohemian Rhapsody - Remastered 2011",Queen,1647411,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
51,Amanece,"Anuel Aa",1630678,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
52,Ferrari,Eno,1625845,https://open.spotify.com/track/4AgK0CwpwcekXVdAoYB2VO
53,SAD!,XXXTENTACION,1621225,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
54,"Ella Quiere Beber - Remix","Anuel Aa",1619892,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
55,"Be Alright","Dean Lewis",1604934,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
56,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,1601372,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
57,lovely,"Billie Eilish",1532679,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
58,Better,Khalid,1520292,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
59,"Let Me Down Slowly","Alec Benjamin",1503632,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
60,"Lucid Dreams","Juice WRLD",1495094,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
61,"Wake Up in the Sky","Gucci Mane",1485419,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
62,Hope,"The Chainsmokers",1449085,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
63,"no tears left to cry","Ariana Grande",1444750,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
64,"rockstar (feat. 21 Savage)","Post Malone",1440974,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
65,"Te Vi","Piso 21",1432867,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
66,"In My Mind",Dynoro,1361132,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
67,Adictiva,"Daddy Yankee",1353163,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
68,Moonlight,XXXTENTACION,1349587,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
69,Youngblood,"5 Seconds of Summer",1315597,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
70,"Promises (with Sam Smith)","Calvin Harris",1309957,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
71,"Taste (feat. Offset)",Tyga,1309284,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
72,"Leave Me Alone","Flipp Dinero",1274707,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
73,"Keanu Reeves",Logic,1252746,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
74,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,1249909,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
75,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,1249776,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
76,"NI BIEN NI MAL","Bad Bunny",1203429,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
77,"Don't Call Me Up",Mabel,1197869,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
78,"Un Año","Sebastian Yatra",1196917,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
79,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1192153,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
80,"I Like It","Cardi B",1180674,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
81,"Someone You Loved","Lewis Capaldi",1177111,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
82,breathin,"Ariana Grande",1166693,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
83,Imposible,"Luis Fonsi",1141379,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
