,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",5187558,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road - Remix","Lil Nas X",4467843,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,"Old Town Road","Lil Nas X",3542099,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
4,"Con Calma","Daddy Yankee",3186593,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
5,SOS,Avicii,3052888,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
6,"7 rings","Ariana Grande",2884795,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2835791,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,"Boy With Luv (feat. Halsey)",BTS,2815197,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
9,Sucker,"Jonas Brothers",2759901,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
10,Talk,Khalid,2398822,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
11,"bury a friend","Billie Eilish",2331669,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
12,Shallow,"Lady Gaga",2285005,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
13,Wow.,"Post Malone",2132869,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
14,"Don't Call Me Up",Mabel,2118709,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
15,"Kill This Love",BLACKPINK,2038698,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
16,"Calma - Remix","Pedro Capó",1955933,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
17,"Pa Mí - Remix",Dalex,1886029,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
18,HP,Maluma,1877181,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
19,"wish you were gay","Billie Eilish",1872570,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
20,"when the party's over","Billie Eilish",1857015,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
21,"Sweet but Psycho","Ava Max",1842143,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
22,"Here With Me",Marshmello,1841098,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
23,Happier,Marshmello,1807018,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
24,"Baila Baila Baila",Ozuna,1658103,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
25,"Dancing With A Stranger (with Normani)","Sam Smith",1649489,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
26,"Without Me",Halsey,1621174,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
27,"break up with your girlfriend, i'm bored","Ariana Grande",1610618,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
28,"Let Me Down Slowly","Alec Benjamin",1600833,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
