Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",6384897,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road - Remix","Lil Nas X",4849820,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,"Boy With Luv (feat. Halsey)",BTS,3998095,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
4,"Old Town Road","Lil Nas X",3861522,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
5,SOS,Avicii,3596577,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
6,"Con Calma","Daddy Yankee",3522836,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
7,"7 rings","Ariana Grande",3333242,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
8,Sucker,"Jonas Brothers",3201084,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
9,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3037931,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
10,"bury a friend","Billie Eilish",2873068,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
11,Talk,Khalid,2730699,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
12,Wow.,"Post Malone",2663616,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
13,"Kill This Love",BLACKPINK,2628362,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
14,Shallow,"Lady Gaga",2512399,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
15,"Don't Call Me Up",Mabel,2503665,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
16,"wish you were gay","Billie Eilish",2423280,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
17,"when the party's over","Billie Eilish",2237949,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
18,"Dancing With A Stranger (with Normani)","Sam Smith",2190969,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
19,"Pa Mí - Remix",Dalex,2167200,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
20,HP,Maluma,2143671,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
21,"Here With Me",Marshmello,2087585,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
22,"Calma - Remix","Pedro Capó",2044323,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
23,"Sweet but Psycho","Ava Max",2043592,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
24,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",2028572,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
25,Happier,Marshmello,1959749,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
26,"Let Me Down Slowly","Alec Benjamin",1919924,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
27,"break up with your girlfriend, i'm bored","Ariana Grande",1918525,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
28,"i'm so tired...",Lauv,1896796,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
29,"MIDDLE CHILD","J. Cole",1862634,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
30,"Baila Baila Baila",Ozuna,1862420,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
31,"Without Me",Halsey,1829056,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
32,"thank u, next","Ariana Grande",1782113,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
33,Secreto,"Anuel Aa",1726054,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
34,"Verte Ir","DJ Luian",1692641,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
35,"Going Bad (feat. Drake)","Meek Mill",1672642,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
36,lovely,"Billie Eilish",1664849,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
37,"Te Robaré","Nicky Jam",1625235,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
38,"On My Way","Alan Walker",1618577,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
39,"all the good girls go to hell","Billie Eilish",1614711,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
40,"Con Altura",ROSALÍA,1600926,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
41,"you should see me in a crown","Billie Eilish",1556826,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
42,"High Hopes","Panic! At The Disco",1553256,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
43,"Outta My Head (with John Mayer)",Khalid,1548369,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
44,Better,Khalid,1490440,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
45,"Murder On My Mind","YNW Melly",1458019,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
46,xanny,"Billie Eilish",1454546,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
47,"Tal Vez","Paulo Londra",1454415,https://open.spotify.com/track/46lvmzK8wxAy66tjzXXSh0
48,"MONOPOLY (with Victoria Monét)","Ariana Grande",1436905,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
49,"my strange addiction","Billie Eilish",1431096,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
50,"Sanguine Paradise","Lil Uzi Vert",1421813,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
51,"So Am I","Ava Max",1413869,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
52,Mikrokosmos,BTS,1387736,https://open.spotify.com/track/5hnbE5BF2e8BCk9OMR1UVC
53,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1387636,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
54,"Someone You Loved","Lewis Capaldi",1385687,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
55,"Make It Right",BTS,1377166,https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH
56,"Pure Water (with Migos)",Mustard,1360953,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
57,HOME,BTS,1356174,https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8
58,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",1354174,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
59,"Eastside (with Halsey & Khalid)","benny blanco",1341357,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
60,"Who Do You Love (with 5 Seconds of Summer)","The Chainsmokers",1322091,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
61,"My Bad",Khalid,1320097,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
62,"Giant (with Rag'n'Bone Man)","Calvin Harris",1311066,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
63,"Bohemian Rhapsody - Remastered 2011",Queen,1299287,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
64,"MIA (feat. Drake)","Bad Bunny",1290761,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
65,"Better Now","Post Malone",1287595,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
66,"Adan y Eva","Paulo Londra",1282208,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
67,Desconocidos,"Mau y Ricky",1237980,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
68,"Te Vi","Piso 21",1200615,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
69,"Be Alright","Dean Lewis",1193140,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
70,"SICKO MODE","Travis Scott",1182840,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
71,"Un Año","Sebastian Yatra",1161976,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
72,Dionysus,BTS,1158506,https://open.spotify.com/track/6JdS5rJvJaRA7B1tcm7kxZ
73,"Girls Like You (feat. Cardi B)","Maroon 5",1156770,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
74,Robbery,"Juice WRLD",1150925,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
75,"rockstar (feat. 21 Savage)","Post Malone",1150037,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
76,"Jamais Vu",BTS,1138984,https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa
